ID,present,WC_alt,WC_bio1,WC_bio2,ER_climaticMoistureIndex,ER_topoWet,lon,lat
1776,1,81,20.799999237060547,9.399999618530273,-0.25,11.140000343322754,31.130697,-29.54187
1777,1,313,21.799999237060547,13.199999809265137,-0.6100000143051147,12.550000190734863,31.796922,-24.818618
1778,1,269,22.299999237060547,14.100000381469727,-0.6700000166893005,12.869999885559082,31.771765,-24.367351
1779,1,368,21.600000381469727,13,-0.6000000238418579,12.279999732971191,31.65409,-24.811846
1780,1,1785,18.700000762939453,13.199999809265137,-0.17000000178813934,10.6899995803833,34.805857,-1.342031
1781,1,1820,18.299999237060547,13.899999618530273,-0.20999999344348907,11.5,34.939516,-1.2498610000000001
1782,1,30,21.5,9.100000381469727,-0.1899999976158142,12.5,32.387508,-28.305665
1783,1,999,22.600000381469727,15.699999809265137,-0.6600000262260437,13.930000305175781,25.111113,-17.898598
1784,1,999,22.600000381469727,15.699999809265137,-0.6600000262260437,13.930000305175781,25.149727,-17.883744
1785,1,1785,18.700000762939453,13.199999809265137,-0.17000000178813934,10.6899995803833,34.805926,-1.358287
1786,1,1154,21.100000381469727,11.800000190734863,-0.5699999928474426,12.1899995803833,37.237908,-2.706236
1787,1,1578,19.600000381469727,13.899999618530273,-0.4300000071525574,12.760000228881836,35.196882,-1.457908
1788,1,2136,15.800000190734863,14.899999618530273,-0.550000011920929,9.59000015258789,36.23272,-0.747187
1789,1,1906,17,15.199999809265137,-0.6100000143051147,11.050000190734863,36.252237,-0.762937
1790,1,248,28.899999618530273,13.899999618530273,-0.75,12.880000114440918,2.672275,13.168386
1791,1,250,28.899999618530273,14,-0.7599999904632568,13.010000228881836,2.626496,13.275102
1792,1,250,28.899999618530273,14,-0.7599999904632568,13.010000228881836,2.607559,13.306738
1793,1,239,29,14,-0.7699999809265137,12.59000015258789,2.746862,13.359827
1794,1,233,29,13.899999618530273,-0.75,12.6899995803833,2.757702,13.319518
1795,1,248,28.899999618530273,14,-0.7599999904632568,13.0600004196167,2.71435,13.279177
1796,1,247,28.799999237060547,14,-0.75,13.039999961853027,2.603205,13.238713
1797,1,248,28.899999618530273,14,-0.7599999904632568,13.0600004196167,2.705267,13.304916
1798,1,252,28.899999618530273,14,-0.7699999809265137,13.020000457763672,2.662388,13.387602
1799,1,227,29,13.899999618530273,-0.75,12.699999809265137,2.797066,13.211163
1800,1,226,28.899999618530273,13.800000190734863,-0.7400000095367432,12.8100004196167,2.787403,13.100855
1801,1,254,28.799999237060547,13.899999618530273,-0.7400000095367432,13.09000015258789,2.635783,13.134517
